,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,HomeWin,VisitorNumWins,HomeNumWins,HomeWins2020,VisitorWins2020
0,Tue Oct 19 2021,7:30p,Brooklyn Nets,104,Milwaukee Bucks,127,Box Score,,17341.0,Fiserv Forum,,1,0,58,46,48
1,Tue Oct 19 2021,10:00p,Golden State Warriors,121,Los Angeles Lakers,114,Box Score,,18997.0,Crypto.com Arena,,0,0,33,42,39
2,Wed Oct 20 2021,7:00p,Indiana Pacers,122,Charlotte Hornets,123,Box Score,,15521.0,Spectrum Center,,1,0,43,33,34
3,Wed Oct 20 2021,7:00p,Chicago Bulls,94,Detroit Pistons,88,Box Score,,20088.0,Little Caesars Arena,,0,0,23,20,31
4,Wed Oct 20 2021,7:30p,Boston Celtics,134,New York Knicks,138,Box Score,2OT,19812.0,Madison Square Garden (IV),,1,0,37,41,36
5,Wed Oct 20 2021,7:30p,Washington Wizards,98,Toronto Raptors,83,Box Score,,19800.0,Scotiabank Arena,,0,0,50,27,34
6,Wed Oct 20 2021,8:00p,Cleveland Cavaliers,121,Memphis Grizzlies,132,Box Score,,15975.0,FedEx Forum,,1,0,62,38,22
7,Wed Oct 20 2021,8:00p,Houston Rockets,106,Minnesota Timberwolves,124,Box Score,,16079.0,Target Center,,1,0,49,23,17
8,Wed Oct 20 2021,8:00p,Philadelphia 76ers,117,New Orleans Pelicans,97,Box Score,,12845.0,Smoothie King Center,,0,0,40,31,49
9,Wed Oct 20 2021,8:30p,Orlando Magic,97,San Antonio Spurs,123,Box Score,,16697.0,AT&T Center,,1,0,34,33,21
10,Wed Oct 20 2021,9:00p,Oklahoma City Thunder,86,Utah Jazz,107,Box Score,,18306.0,Vivint Smart Home Arena,,1,0,51,52,22
11,Wed Oct 20 2021,10:00p,Sacramento Kings,124,Portland Trail Blazers,121,Box Score,,17467.0,Moda Center,,0,0,27,42,31
12,Wed Oct 20 2021,10:00p,Denver Nuggets,110,Phoenix Suns,98,Box Score,,16074.0,Phoenix Suns Arena,,0,0,71,51,47
13,Thu Oct 21 2021,7:30p,Dallas Mavericks,87,Atlanta Hawks,113,Box Score,,17162.0,State Farm Arena,,1,0,46,41,42
14,Thu Oct 21 2021,8:00p,Milwaukee Bucks,95,Miami Heat,137,Box Score,,19600.0,FTX Arena,,1,1,64,40,46
15,Thu Oct 21 2021,10:00p,Los Angeles Clippers,113,Golden State Warriors,115,Box Score,,18064.0,Chase Center,,1,0,70,39,47
16,Fri Oct 22 2021,7:00p,New York Knicks,121,Orlando Magic,96,Box Score,,18846.0,Amway Center,,0,1,22,21,41
17,Fri Oct 22 2021,7:00p,Indiana Pacers,134,Washington Wizards,135,Box Score,OT,15407.0,Capital One Arena,,1,0,36,34,34
18,Fri Oct 22 2021,7:00p,Charlotte Hornets,123,Cleveland Cavaliers,112,Box Score,,17116.0,Rocket Mortgage Fieldhouse,,0,1,44,22,33
19,Fri Oct 22 2021,7:30p,Toronto Raptors,115,Boston Celtics,83,Box Score,,19156.0,TD Garden,,0,0,65,36,27
20,Fri Oct 22 2021,7:30p,Brooklyn Nets,114,Philadelphia 76ers,109,Box Score,,20367.0,Wells Fargo Center,,0,0,58,49,48
21,Fri Oct 22 2021,8:00p,Oklahoma City Thunder,91,Houston Rockets,124,Box Score,,15674.0,Toyota Center,,1,0,20,17,22
22,Fri Oct 22 2021,8:00p,New Orleans Pelicans,112,Chicago Bulls,128,Box Score,,20995.0,United Center,,1,0,48,31,31
23,Fri Oct 22 2021,9:00p,San Antonio Spurs,96,Denver Nuggets,102,Box Score,,19520.0,Ball Arena,,1,1,50,47,33
24,Fri Oct 22 2021,10:00p,Phoenix Suns,115,Los Angeles Lakers,105,Box Score,,18997.0,Crypto.com Arena,,0,0,33,42,51
25,Fri Oct 22 2021,10:00p,Utah Jazz,110,Sacramento Kings,101,Box Score,,17583.0,Golden 1 Center,,0,1,31,31,52
26,Sat Oct 23 2021,6:00p,Atlanta Hawks,95,Cleveland Cavaliers,101,Box Score,,16846.0,Rocket Mortgage Fieldhouse,,1,1,44,22,41
27,Sat Oct 23 2021,7:00p,Miami Heat,91,Indiana Pacers,102,Box Score,OT,17147.0,Gainbridge Fieldhouse,,1,1,25,34,40
28,Sat Oct 23 2021,7:30p,Dallas Mavericks,103,Toronto Raptors,95,Box Score,,19800.0,Scotiabank Arena,,0,0,51,27,42
29,Sat Oct 23 2021,8:00p,Detroit Pistons,82,Chicago Bulls,97,Box Score,,18888.0,United Center,,1,0,49,31,20
30,Sat Oct 23 2021,8:00p,New Orleans Pelicans,89,Minnesota Timberwolves,96,Box Score,,15343.0,Target Center,,1,0,50,23,31
31,Sat Oct 23 2021,8:30p,Milwaukee Bucks,121,San Antonio Spurs,111,Box Score,,14353.0,AT&T Center,,0,1,35,33,46
32,Sat Oct 23 2021,10:00p,Phoenix Suns,105,Portland Trail Blazers,134,Box Score,,18558.0,Moda Center,,1,1,27,42,51
33,Sat Oct 23 2021,10:30p,Memphis Grizzlies,120,Los Angeles Clippers,114,Box Score,,16748.0,Crypto.com Arena,,0,1,42,47,38
34,Sun Oct 24 2021,4:00p,Charlotte Hornets,111,Brooklyn Nets,95,Box Score,,17732.0,Barclays Center,,0,2,46,48,33
35,Sun Oct 24 2021,7:00p,Boston Celtics,107,Houston Rockets,97,Box Score,,16069.0,Toyota Center,,0,0,21,17,36
36,Sun Oct 24 2021,7:00p,Orlando Magic,110,New York Knicks,104,Box Score,,16273.0,Madison Square Garden (IV),,0,0,39,41,21
37,Sun Oct 24 2021,7:00p,Philadelphia 76ers,115,Oklahoma City Thunder,103,Box Score,,14256.0,Paycom Center,,0,1,24,22,49
38,Sun Oct 24 2021,9:00p,Golden State Warriors,119,Sacramento Kings,107,Box Score,,13876.0,Golden 1 Center,,0,2,31,31,39
39,Sun Oct 24 2021,9:30p,Memphis Grizzlies,118,Los Angeles Lakers,121,Box Score,,18997.0,Crypto.com Arena,,1,2,33,42,38
40,Mon Oct 25 2021,7:00p,Boston Celtics,140,Charlotte Hornets,129,Box Score,OT,17238.0,Spectrum Center,,0,1,46,33,36
41,Mon Oct 25 2021,7:00p,Milwaukee Bucks,119,Indiana Pacers,109,Box Score,,10339.0,Gainbridge Fieldhouse,,0,2,26,34,46
42,Mon Oct 25 2021,7:30p,Chicago Bulls,111,Toronto Raptors,108,Box Score,,19800.0,Scotiabank Arena,,0,3,51,27,31
43,Mon Oct 25 2021,7:30p,Orlando Magic,90,Miami Heat,107,Box Score,,19600.0,FTX Arena,,1,1,65,40,21
44,Mon Oct 25 2021,7:30p,Washington Wizards,90,Brooklyn Nets,104,Box Score,,14487.0,Barclays Center,,1,2,46,48,34
45,Mon Oct 25 2021,7:30p,Detroit Pistons,104,Atlanta Hawks,122,Box Score,,14209.0,State Farm Arena,,1,0,47,41,20
46,Mon Oct 25 2021,8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,98,Box Score,,14435.0,Target Center,,0,0,51,23,31
47,Mon Oct 25 2021,9:00p,Cleveland Cavaliers,99,Denver Nuggets,87,Box Score,,14221.0,Ball Arena,,0,1,51,47,22
48,Mon Oct 25 2021,10:30p,Portland Trail Blazers,86,Los Angeles Clippers,116,Box Score,,15672.0,Crypto.com Arena,,1,1,42,47,42
49,Tue Oct 26 2021,7:30p,Philadelphia 76ers,99,New York Knicks,112,Box Score,,15218.0,Madison Square Garden (IV),,1,2,39,41,49
50,Tue Oct 26 2021,8:00p,Golden State Warriors,106,Oklahoma City Thunder,98,Box Score,,0.0,Paycom Center,,0,3,24,22,39
51,Tue Oct 26 2021,8:30p,Los Angeles Lakers,125,San Antonio Spurs,121,Box Score,OT,18354.0,AT&T Center,,0,1,35,33,42
52,Tue Oct 26 2021,8:30p,Houston Rockets,106,Dallas Mavericks,116,Box Score,,19337.0,American Airlines Center,,1,1,62,42,17
53,Tue Oct 26 2021,10:00p,Denver Nuggets,110,Utah Jazz,122,Box Score,,18306.0,Vivint Smart Home Arena,,1,2,53,52,47
54,Wed Oct 27 2021,7:00p,Charlotte Hornets,120,Orlando Magic,111,Box Score,,14082.0,Amway Center,,0,3,23,21,33
55,Wed Oct 27 2021,7:30p,Washington Wizards,116,Boston Celtics,107,Box Score,,19156.0,TD Garden,,0,2,67,36,34
56,Wed Oct 27 2021,7:30p,Miami Heat,106,Brooklyn Nets,93,Box Score,,17732.0,Barclays Center,,0,2,47,48,40
57,Wed Oct 27 2021,7:30p,Indiana Pacers,100,Toronto Raptors,118,Box Score,,19800.0,Scotiabank Arena,,1,1,51,27,34
58,Wed Oct 27 2021,7:30p,Atlanta Hawks,102,New Orleans Pelicans,99,Box Score,,15541.0,Smoothie King Center,,0,2,41,31,41
59,Wed Oct 27 2021,8:00p,Minnesota Timberwolves,113,Milwaukee Bucks,108,Box Score,,17341.0,Fiserv Forum,,0,2,61,46,23
60,Wed Oct 27 2021,8:00p,Los Angeles Lakers,115,Oklahoma City Thunder,123,Box Score,,15783.0,Paycom Center,,1,2,24,22,42
61,Wed Oct 27 2021,10:00p,Sacramento Kings,110,Phoenix Suns,107,Box Score,,14678.0,Phoenix Suns Arena,,0,1,72,51,31
62,Wed Oct 27 2021,10:00p,Memphis Grizzlies,96,Portland Trail Blazers,116,Box Score,,16241.0,Moda Center,,1,2,28,42,38
63,Wed Oct 27 2021,10:30p,Cleveland Cavaliers,92,Los Angeles Clippers,79,Box Score,,13276.0,Crypto.com Arena,,0,2,43,47,22
64,Thu Oct 28 2021,7:00p,Atlanta Hawks,111,Washington Wizards,122,Box Score,,13653.0,Capital One Arena,,1,3,38,34,41
65,Thu Oct 28 2021,7:00p,Detroit Pistons,102,Philadelphia 76ers,110,Box Score,,20017.0,Wells Fargo Center,,1,0,59,49,20
66,Thu Oct 28 2021,8:00p,Utah Jazz,122,Houston Rockets,91,Box Score,,15858.0,Toyota Center,,0,3,21,17,52
67,Thu Oct 28 2021,8:00p,New York Knicks,104,Chicago Bulls,103,Box Score,,20972.0,United Center,,0,3,51,31,41
68,Thu Oct 28 2021,8:30p,San Antonio Spurs,99,Dallas Mavericks,104,Box Score,,19228.0,American Airlines Center,,1,1,63,42,33
69,Thu Oct 28 2021,10:00p,Memphis Grizzlies,104,Golden State Warriors,101,Box Score,OT,18064.0,Chase Center,,0,2,73,39,38
70,Fri Oct 29 2021,7:00p,Orlando Magic,109,Toronto Raptors,110,Box Score,,19800.0,Scotiabank Arena,,1,1,52,27,21
71,Fri Oct 29 2021,7:30p,Charlotte Hornets,99,Miami Heat,114,Box Score,,19600.0,FTX Arena,,1,4,67,40,33
72,Fri Oct 29 2021,7:30p,Indiana Pacers,98,Brooklyn Nets,105,Box Score,,16139.0,Barclays Center,,1,1,47,48,34
73,Fri Oct 29 2021,8:00p,Sacramento Kings,113,New Orleans Pelicans,109,Box Score,,17507.0,Smoothie King Center,,0,2,41,31,31
74,Fri Oct 29 2021,10:00p,Dallas Mavericks,75,Denver Nuggets,106,Box Score,,18315.0,Ball Arena,,1,3,51,47,42
75,Fri Oct 29 2021,10:00p,Los Angeles Clippers,92,Portland Trail Blazers,111,Box Score,,16510.0,Moda Center,,1,1,29,42,47
76,Fri Oct 29 2021,10:30p,Cleveland Cavaliers,101,Los Angeles Lakers,113,Box Score,,18997.0,Crypto.com Arena,,1,3,35,42,22
77,Sat Oct 30 2021,5:00p,Boston Celtics,112,Washington Wizards,115,Box Score,2OT,15813.0,Capital One Arena,,1,2,39,34,36
78,Sat Oct 30 2021,7:00p,Orlando Magic,103,Detroit Pistons,110,Box Score,,11423.0,Little Caesars Arena,,1,1,23,20,21
79,Sat Oct 30 2021,7:00p,New York Knicks,123,New Orleans Pelicans,117,Box Score,,16508.0,Smoothie King Center,,0,4,41,31,41
80,Sat Oct 30 2021,7:30p,Toronto Raptors,97,Indiana Pacers,94,Box Score,,10578.0,Gainbridge Fieldhouse,,0,3,26,34,27
81,Sat Oct 30 2021,7:30p,Atlanta Hawks,94,Philadelphia 76ers,122,Box Score,,20031.0,Wells Fargo Center,,1,3,60,49,41
82,Sat Oct 30 2021,8:00p,Utah Jazz,99,Chicago Bulls,107,Box Score,,20668.0,United Center,,1,4,51,31,52
83,Sat Oct 30 2021,8:00p,Miami Heat,129,Memphis Grizzlies,103,Box Score,,15989.0,FedEx Forum,,0,4,65,38,40
84,Sat Oct 30 2021,8:00p,San Antonio Spurs,102,Milwaukee Bucks,93,Box Score,,17341.0,Fiserv Forum,,0,1,61,46,33
85,Sat Oct 30 2021,8:30p,Oklahoma City Thunder,82,Golden State Warriors,103,Box Score,,18064.0,Chase Center,,1,1,73,39,22
86,Sat Oct 30 2021,9:00p,Denver Nuggets,93,Minnesota Timberwolves,91,Box Score,,17136.0,Target Center,,0,3,52,23,47
87,Sat Oct 30 2021,10:00p,Cleveland Cavaliers,92,Phoenix Suns,101,Box Score,,14516.0,Phoenix Suns Arena,,1,3,72,51,22
88,Sun Oct 31 2021,3:30p,Sacramento Kings,99,Dallas Mavericks,105,Box Score,,19231.0,American Airlines Center,,1,3,64,42,31
89,Sun Oct 31 2021,7:00p,Portland Trail Blazers,113,Charlotte Hornets,125,Box Score,,14960.0,Spectrum Center,,1,3,47,33,42
90,Sun Oct 31 2021,7:00p,Utah Jazz,107,Milwaukee Bucks,95,Box Score,,17341.0,Fiserv Forum,,0,4,61,46,52
91,Sun Oct 31 2021,7:30p,Detroit Pistons,91,Brooklyn Nets,117,Box Score,,13507.0,Barclays Center,,1,1,48,48,20
92,Sun Oct 31 2021,10:30p,Houston Rockets,85,Los Angeles Lakers,95,Box Score,,16448.0,Crypto.com Arena,,1,1,36,42,17
93,Mon Nov 1 2021,7:00p,Cleveland Cavaliers,113,Charlotte Hornets,110,Box Score,,13889.0,Spectrum Center,,0,3,48,33,22
94,Mon Nov 1 2021,7:00p,San Antonio Spurs,118,Indiana Pacers,131,Box Score,,10227.0,Gainbridge Fieldhouse,,1,2,26,34,33
